family,n_images,intra_dist,intra_std,inter_dist,n_species,n_genre,prop_male,view
cinclidae,26,0.07525025308132172,0.015158415772020817,0.04559600353240967,5,1,0.5,Back
cinclosomatidae,40,0.12392880767583847,0.026271937415003777,0.028112411499023438,8,2,0.45,Back
cisticolidae,767,0.10964983701705933,0.03077457845211029,0.01405191421508789,144,22,0.5241199478487614,Back
climacteridae,34,0.07192357629537582,0.017235955223441124,0.022901713848114014,6,2,0.5,Back
cnemophilidae,14,0.1411648988723755,0.059512339532375336,0.06343549489974976,3,2,0.5714285714285714,Back
coliidae,36,0.07954150438308716,0.021494878455996513,0.1829134225845337,6,2,0.5,Back
columbidae,1250,0.13945887982845306,0.0452362485229969,0.020707368850708008,274,43,0.512,Back
conopophagidae,33,0.09606757014989853,0.021435897797346115,0.07200789451599121,10,2,0.5757575757575758,Back
coraciidae,65,0.11127570271492004,0.027608400210738182,0.08179008960723877,12,2,0.5076923076923077,Back
corcoracidae,12,0.08077941089868546,0.01525346003472805,0.04641270637512207,2,2,0.5,Back
corvidae,566,0.14644774794578552,0.04022205248475075,0.044659554958343506,114,22,0.49646643109540634,Back
cotingidae,251,0.167070209980011,0.06332626938819885,0.007368564605712891,58,23,0.49800796812749004,Back
cracidae,78,0.10460282862186432,0.030817806720733643,0.049260079860687256,43,11,0.3974358974358974,Back
cuculidae,676,0.1306370347738266,0.0369437076151371,0.04488247632980347,132,26,0.4985207100591716,Back
dasyornithidae,4,0.06696054339408875,0.016542017459869385,0.08169680833816528,3,1,0.25,Back
dicaeidae,215,0.11751517653465271,0.027392426505684853,0.0376969575881958,42,2,0.5395348837209303,Back
dicruridae,115,0.08954422920942307,0.038735147565603256,0.09717315435409546,22,1,0.48695652173913045,Back
diomedeidae,54,0.10090155899524689,0.033402737230062485,0.09188413619995117,16,4,0.5,Back
donacobiidae,6,0.07199350744485855,0.013977485708892345,0.0895770788192749,1,1,0.5,Back
dromadidae,6,0.05909721180796623,0.011744767427444458,0.19657814502716064,1,1,0.5,Back
dulidae,6,0.07793676853179932,0.02116031013429165,0.05160057544708252,1,1,0.5,Back
elanidae,30,0.0905136838555336,0.021879443898797035,0.06101334095001221,6,3,0.5,Back
emberizidae,220,0.08808931708335876,0.028387948870658875,0.04485142230987549,41,4,0.5227272727272727,Back
estrildidae,639,0.13579504191875458,0.037800133228302,0.022467076778411865,125,27,0.514866979655712,Back
eulacestomatidae,3,0.06001027300953865,0.012140997685492039,0.07092154026031494,1,1,0.3333333333333333,Back
eupetidae,6,0.050534117966890335,0.008106530643999577,0.11046141386032104,1,1,0.5,Back
eurylaimidae,44,0.16860832273960114,0.04520034044981003,0.05600923299789429,9,6,0.5,Back
eurypygidae,6,0.05872392654418945,0.01183347962796688,0.20733165740966797,1,1,0.5,Back
falconidae,308,0.12795783579349518,0.03532218560576439,0.02680867910385132,59,11,0.5032467532467533,Back
falcunculidae,6,0.06219324469566345,0.009176037274301052,0.07063859701156616,1,1,0.5,Back
formicariidae,34,0.07004661113023758,0.015023203566670418,0.05044996738433838,10,2,0.6470588235294118,Back
fregatidae,18,0.0823695957660675,0.012557055801153183,0.06707030534744263,5,1,0.5,Back
fringillidae,947,0.13434474170207977,0.04499982297420502,0.013688147068023682,181,32,0.5269271383315733,Back
furnariidae,889,0.10288572311401367,0.029795123264193535,0.02271103858947754,242,64,0.5106861642294713,Back
galbulidae,74,0.11883078515529633,0.03186800330877304,0.07660984992980957,18,5,0.47297297297297297,Back
gaviidae,21,0.09771545976400375,0.024013351649045944,0.12585395574569702,5,1,0.5238095238095238,Back
glareolidae,96,0.10411860793828964,0.03375621512532234,0.04714775085449219,17,4,0.5,Back
grallariidae,87,0.09044869989156723,0.019674552604556084,0.06367641687393188,30,4,0.5402298850574713,Back
gruidae,50,0.1521490514278412,0.04718374088406563,0.09091877937316895,15,2,0.46,Back
haematopodidae,45,0.0849103257060051,0.019199088215827942,0.04751622676849365,11,1,0.4666666666666667,Back
heliornithidae,17,0.09214968979358673,0.0321243554353714,0.04580819606781006,3,3,0.5294117647058824,Back
hemiprocnidae,24,0.09880951792001724,0.02484367974102497,0.07034909725189209,4,1,0.5,Back
hirundinidae,399,0.1117294654250145,0.027623016387224197,0.044305264949798584,76,17,0.518796992481203,Back
hydrobatidae,62,0.08927375823259354,0.025033097714185715,0.037019550800323486,13,3,0.532258064516129,Back
hyliotidae,20,0.09602445363998413,0.014595421962440014,0.061880290508270264,4,1,0.5,Back
