family,n_images,intra_dist,intra_std,inter_dist,n_species,n_genre,prop_male,view
paradisaeidae,194,0.21402375400066376,0.052169423550367355,0.04987752437591553,40,13,0.5618556701030928,Belly
paradoxornithidae,120,0.11781283468008041,0.030588051304221153,0.019695639610290527,24,6,0.49166666666666664,Belly
paramythiidae,11,0.13018456101417542,0.029078785330057144,0.13997995853424072,2,2,0.5454545454545454,Belly
pardalotidae,19,0.08852293342351913,0.023071760311722755,0.0726172924041748,4,1,0.5263157894736842,Belly
paridae,293,0.14292089641094208,0.04251768812537193,0.022335350513458252,53,6,0.5119453924914675,Belly
parulidae,507,0.141855850815773,0.046404603868722916,0.05778074264526367,102,19,0.504930966469428,Belly
passerellidae,533,0.12437538802623749,0.038959357887506485,0.017100095748901367,109,24,0.525328330206379,Belly
passeridae,226,0.09746488928794861,0.040997251868247986,0.0312233567237854,38,4,0.504424778761062,Belly
pelecanidae,41,0.14838528633117676,0.05836592614650726,0.12059652805328369,8,1,0.36585365853658536,Belly
pellorneidae,235,0.10979900509119034,0.03798694163560867,0.034494638442993164,47,15,0.5191489361702127,Belly
petroicidae,170,0.15808962285518646,0.04259754344820976,0.027611851692199707,42,13,0.4823529411764706,Belly
peucedramidae,6,0.05529742315411568,0.010337837040424347,0.08048170804977417,1,1,0.5,Belly
phaenicophilidae,13,0.09781881421804428,0.02210177853703499,0.06996452808380127,4,3,0.5384615384615384,Belly
phaethontidae,16,0.08112899959087372,0.023825131356716156,0.17788559198379517,3,1,0.5625,Belly
phalacrocoracidae,123,0.15912479162216187,0.047656238079071045,0.0764392614364624,32,1,0.5365853658536586,Belly
phasianidae,337,0.1701025664806366,0.05483824387192726,0.03666412830352783,163,42,0.5044510385756676,Belly
philepittidae,20,0.12307760864496231,0.05038364976644516,0.10015749931335449,4,2,0.5,Belly
phoenicopteridae,24,0.14429309964179993,0.02616877481341362,0.18734389543533325,6,3,0.5416666666666666,Belly
phoeniculidae,45,0.12913723289966583,0.022559205070137978,0.1902042031288147,8,2,0.5111111111111111,Belly
phylloscopidae,336,0.10171879082918167,0.031225567683577538,0.03764420747756958,65,2,0.5178571428571429,Belly
